row_id,Paragraph_ID,Paragraph,Gold Annotation
10,P103P1,"Breast cancer is the leading cause of cancer-related deaths in women due to distinct cancer subtypes associated with early recurrence and aggressive metastatic progression. High lipoprotein-associated phospholipase A2 (PLA2G7) expression has previously been associated with aggressive disease and metastasis in prostate cancer. Here, we explore the expression pattern and functional role of PLA2G7 in breast cancer. First, a bioinformatic analysis of genome-wide gene expression data from 970 breast samples was carried out to evaluate the expression pattern of PLA2G7 mRNA in breast cancer. Second, the expression profile of PLA2G7 was studied in 1042 breast cancer samples including 89 matched lymph node metastasis samples using immunohistochemistry. Third, the effect of PLA2G7 silencing on genome-wide gene expression profile was studied and validated in cultured breast cancer cells expressing PLA2G7 at high level. Last, the expression pattern of PLA2G7 mRNA was investigated in 24 nonmalignant tissue samples and 65 primary and 7 metastatic tumour samples derived from various organs using qRT-PCR. The results from clinical breast cancer samples indicated that PLA2G7 is overexpressed in a subset of breast cancer samples compared to its expression in benign breast tissue samples and that high PLA2G7 expression associated with hormone receptor negativity as well as with poor prognosis in a subset of breast cancer samples. In vitro functional studies highlighted the putative role of PLA2G7 in the regulation of epithelial-mesenchymal transition-related signalling pathways, vimentin and E-cadherin protein expression as well as cell migration in cultured breast cancer cells. Furthermore, supporting the findings in breast and prostate cancer, high PLA2G7 mRNA expression was associated with metastatic cancer in four additional organs of origin. In conclusion, our results indicate that PLA2G7 is highly expressed in a subset of metastatic and aggressive breast cancers and in metastatic samples of various tissues of origin and promotes EMT and migration in cultured breast cancer cells.","[{'e1': 'High lipoprotein-associated phospholipase A2 (PLA2G7) expression ', 'e2': 'aggressive disease ', 'relation': 'has previously been associated with ', 'condition': 'in prostate cancer'}, {'e1': 'High lipoprotein-associated phospholipase A2 (PLA2G7) expression ', 'e2': 'metastasis ', 'relation': 'has previously been associated with ', 'condition': 'in prostate cancer'}, {'e1': 'high PLA2G7 expression ', 'e2': 'hormone receptor negativity', 'relation': 'associated with ', 'condition': ' in a subset of breast cancer samples'}, {'e1': 'high PLA2G7 expression ', 'e2': ' poor prognosis', 'relation': 'associated with ', 'condition': ' in a subset of breast cancer samples'}, {'e1': ' high PLA2G7 mRNA expression ', 'e2': 'metastatic cancer', 'relation': 'was associated with ', 'condition': ' in four additional organs of origin'}, {'e1': 'PLA2G7 ', 'e2': 'EMT ', 'relation': 'promotes ', 'condition': 'in cultured breast cancer cells'}, {'e1': 'PLA2G7 ', 'e2': 'migration ', 'relation': 'promotes ', 'condition': 'in cultured breast cancer cells'}]"
11,P103P10,"In addition to regulating EMT and invasion, PLA2G7 impairment was found to inhibit EGFR expression in vitro. Although recent results from clinical trials studying the combinatorial effect of monoclonal anti-EGFR antibody cetuximab and carboplatin or cisplatin in the treatment of triple-negative breast cancer have not been successful, combining different therapies has been suggested as a necessary step to reach significant therapeutic progress. Interestingly, darapladib, a novel PLA2G7 inhibitor, has recently been under intensive research in the area of cardiovascular diseases. In addition, lipid-lowering statins are known to reduce PLA2G7 activity in plasma, atherosclerotic plaques and cultured prostate cancer cells. Thus, although the first phase III trials with darapladib did not produce much anticipated promising results in the treatment of chronic coronary heart disease, pharmacologically well-studied and well-known molecules inhibiting PLA2G7, such as darapladib and statins, could be readily translated to in vivo preclinical studies and clinical trials also in the area of oncology. Our results propose a possible beneficial effect from the combination of PLA2G7 inhibition with other therapies in advanced breast cancer.","[{'e1': 'PLA2G7 impairment', 'e2': ' EGFR expression ', 'relation': ' was found to inhibit', 'condition': 'in vitro'}, {'e1': 'lipid-lowering statins ', 'e2': 'PLA2G7 activity', 'relation': 'are known to reduce ', 'condition': ' in plasma, atherosclerotic plaques '}, {'e1': 'lipid-lowering statins ', 'e2': 'PLA2G7 activity', 'relation': 'are known to reduce ', 'condition': 'in cultured prostate cancer cells'}]"
12,P103P4,"PLA2G7, also known as lipoprotein-associated phospholipase A2 or platelet-activating factor acetyl hydrolase, is a phospholipase that hydrolyses platelet-activating factor and truncated phospholipids generated by oxidative attack. PLA2G7 was recently reported as a novel biomarker in 50% of primary and 70% of metastatic prostate cancers and associated with aggressive disease in prostate cancer. Furthermore, PLA2G7 was identified as a potential drug target especially in ERG oncogene positive prostate cancers and the alterations induced by PLA2G7 silencing highlighted the potential of PLA2G7 inhibition as an anti-proliferative, pro-apoptotic and anti-migratory therapeutic approach. Interestingly, in addition to ERG oncogene expressing prostate cancers, high PLA2G7 expression has also been proposed to play a causal role in colon tumourigenesis downstream of loss-of-function TP53 mutations and activating RAS mutations. Supporting this finding, deletion of PLA2G7 in ApcMin/1 mice has been shown to decrease both intestinal polyposis as well as colon tumourigenesis. In recent years, PLA2G7 has also been under intensive research in the area of cardiovascular diseases. High PLA2G7 amount and enzyme activity have been associated with an increased risk of cardiovascular disease, and PLA2G7 inhibitor darapladib has been studied in the prevention and treatment of coronary heart disease.","[{'e1': 'PLA2G7 ', 'e2': 'aggressive disease ', 'relation': 'was associated with ', 'condition': 'in prostate cancer'}, {'e1': 'PLA2G7 ', 'e2': 'potential drug target ', 'relation': 'was identified as a ', 'condition': 'especially in ERG oncogene positive prostate cancers'}]"
13,P103P5,"In this study, we focus on analysing the expression pattern of PLA2G7 in breast cancer and investigate the functional role of PLA2G7 in cultured breast cancer cells using genome-wide gene expression analysis, immunohistochemistry and functional assays. The results indicate a role for PLA2G7 in the regulation of metastasis-initiating EMT and cell migration, associate high PLA2G7 mRNA expression with hormone receptor negative aggressive disease and indicate that high PLA2G7 protein expression in lymph node metastases associates with unfavourable prognosis in breast cancer.","[{'e1': ' high PLA2G7 protein expression in lymph node metastases ', 'e2': 'unfavourable prognosis ', 'relation': 'associates with ', 'condition': 'in breast cancer.'}]"
14,P103P6,"Breast cancer is the most frequent cancer in women worldwide and the leading cause of cancer-related deaths in women due to distinct cancer subtypes associated with aggressive progression. Here, we evaluated the expression pattern of PLA2G7 in breast cancer and investigated the molecular processes regulated by PLA2G7 in cultured breast cancer cells.","[{'e1': ' molecular processes', 'e2': 'PLA2G7 ', 'relation': ' regulated by ', 'condition': 'in cultured breast cancer cells.'}]"
15,P103P7,"The results from three independent clinical breast cancer sample sets showed that PLA2G7 is highly expressed in hormone receptor negative breast cancers. Analysis of transcriptomic data indicated a significant association between high PLA2G7 mRNA expression and poor prognosis in primary breast cancer samples. However, the association between high PLA2G7 protein expression and unfavourable disease outcome was not seen at the protein level in samples derived from primary breast cancers. Surprisingly, when evaluating the protein expression of PLA2G7 in the lymph node metastases, high PLA2G7 protein expression was significantly associated with poor prognosis. The reason for the inconsistent results in survival analyses of primary breast cancer samples using either PLA2G7 mRNA or protein expression remain to be investigated. The qRT-PCR primers and antibody used for evaluation of PLA2G7 expression detect both of the transcripts listed in the current release of the Ensembl database. It can be hypothesised that the results may be affected by possible PLA2G7 protein secretion or the expression of PLA2G7 by stromal and inflammatory cells present in the samples. However, the association between high PLA2G7 expression and poor prognosis using samples from lymph node metastases was acquired using the protein expression of PLA2G7 only in the tumour cells, supporting the role for PLA2G7 in cancer progression. Furthermore, PLA2G7 was also highly expressed in metastatic or aggressive tumours derived from cancers of other origins, indicating a wider range of significance in cancer progression. However, although high PLA2G7 expression associates with aggressive tumours and metastasis in many tissues, the results were opposite in thyroid tissue, suggesting that the role of PLA2G7 is multifaceted and dependent on the nature of the disease and biological context.","[{'e1': ' high PLA2G7 mRNA expression ', 'e2': 'poor prognosis ', 'relation': 'significantly associated with', 'condition': 'in primary breast cancer samples'}, {'e1': 'high PLA2G7 protein expression ', 'e2': 'poor prognosis', 'relation': 'was significantly associated with ', 'condition': 'in the lymph node metastases '}, {'e1': 'high PLA2G7 expression ', 'e2': 'aggressive tumours ', 'relation': 'associates with ', 'condition': 'in many tissues'}, {'e1': 'high PLA2G7 expression ', 'e2': 'metastasis ', 'relation': 'associates with ', 'condition': 'in many tissues'}]"
16,P104P1,"Breast cancer is the leading cause of cancer-related deaths in women due to distinct cancer subtypes associated with early recurrence and aggressive metastatic progression. High lipoprotein-associated phospholipase A2 (PLA2G7) expression has previously been associated with aggressive disease and metastasis in prostate cancer. Here, we explore the expression pattern and functional role of PLA2G7 in breast cancer. First, a bioinformatic analysis of genome-wide gene expression data from 970 breast samples was carried out to evaluate the expression pattern of PLA2G7 mRNA in breast cancer. Second, the expression profile of PLA2G7 was studied in 1042 breast cancer samples including 89 matched lymph node metastasis samples using immunohistochemistry. Third, the effect of PLA2G7 silencing on genome-wide gene expression profile was studied and validated in cultured breast cancer cells expressing PLA2G7 at high level. Last, the expression pattern of PLA2G7 mRNA was investigated in 24 nonmalignant tissue samples and 65 primary and 7 metastatic tumour samples derived from various organs using qRT-PCR.","[{'e1': 'High lipoprotein-associated phospholipase A2 (PLA2G7) expression ', 'e2': 'aggressive disease ', 'relation': 'has previously been associated with ', 'condition': 'in prostate cancer'}, {'e1': 'High lipoprotein-associated phospholipase A2 (PLA2G7) expression ', 'e2': 'metastasis ', 'relation': 'has previously been associated with ', 'condition': 'in prostate cancer'}]"
17,P104P11,"In addition to regulating EMT and invasion, PLA2G7 impairment was found to inhibit EGFR expression in vitro. Although recent results from clinical trials studying the combinatorial effect of monoclonal anti-EGFR antibody cetuximab and carboplatin or cisplatin in the treatment of triple-negative breast cancer have not been successful, combining different therapies has been suggested as a necessary step to reach significant therapeutic progress. Interestingly, darapladib, a novel PLA2G7 inhibitor, has recently been under intensive research in the area of cardiovascular diseases. In addition, lipid-lowering statins are known to reduce PLA2G7 activity in plasma, atherosclerotic plaques and cultured prostate cancer cells. Thus, although the first phase III trials with darapladib did not produce much anticipated promising results in the treatment of chronic coronary heart disease, pharmacologically well-studied and well-known molecules inhibiting PLA2G7, such as darapladib and statins, could be readily translated to in vivo preclinical studies and clinical trials also in the area of oncology. Our results propose a possible beneficial effect from the combination of PLA2G7 inhibition with other therapies in advanced breast cancer.","[{'e1': ' PLA2G7 impairment ', 'e2': 'EGFR expression ', 'relation': 'was found to inhibit ', 'condition': 'in vitro'}, {'e1': 'lipid-lowering statins ', 'e2': ' PLA2G7 activity ', 'relation': 'are known to reduce', 'condition': 'in plasma, atherosclerotic plaques'}, {'e1': 'lipid-lowering statins ', 'e2': ' PLA2G7 activity ', 'relation': 'are known to reduce', 'condition': ' in cultured prostate cancer cells'}]"
18,P104P2,"The results from clinical breast cancer samples indicated that PLA2G7 is overexpressed in a subset of breast cancer samples compared to its expression in benign breast tissue samples and that high PLA2G7 expression associated with hormone receptor negativity as well as with poor prognosis in a subset of breast cancer samples. In vitro functional studies highlighted the putative role of PLA2G7 in the regulation of epithelial-mesenchymal transition-related signalling pathways, vimentin and E-cadherin protein expression as well as cell migration in cultured breast cancer cells. Furthermore, supporting the findings in breast and prostate cancer, high PLA2G7 mRNA expression was associated with metastatic cancer in four additional organs of origin. In conclusion, our results indicate that PLA2G7 is highly expressed in a subset of metastatic and aggressive breast cancers and in metastatic samples of various tissues of origin and promotes EMT and migration in cultured breast cancer cells.","[{'e1': 'high PLA2G7 expression ', 'e2': 'hormone receptor negativity', 'relation': 'associated with ', 'condition': 'in a subset of breast cancer samples'}, {'e1': 'high PLA2G7 expression ', 'e2': 'poor prognosis ', 'relation': 'associated with ', 'condition': 'in a subset of breast cancer samples'}, {'e1': 'high PLA2G7 mRNA expression', 'e2': 'metastatic cancer ', 'relation': ' was associated with ', 'condition': 'in four additional organs of origin'}, {'e1': 'PLA2G7 ', 'e2': 'EMT', 'relation': 'promotes ', 'condition': ' in cultured breast cancer cells.'}, {'e1': 'PLA2G7 ', 'e2': ' migration', 'relation': 'promotes ', 'condition': ' in cultured breast cancer cells.'}]"
19,P104P4,"EMT, a vital process during embryogenesis and tissue repair, is characterised by specific gene expression changes, reduced intercellular adhesion, gain of mesenchymal characteristics and increased cell mobility to distant locations. Loss of immotile epithelial phenotype and gain of mesenchymal properties via EMT has recently been shown to be a key metastasis-promoting step in many cancers. In addition to enabling metastasis EMT has been suggested to promote the generation and function of cancer stem cells as well as development of drug resistance. EMT is induced by multiple oncogenic events and signalling pathways and requires the expression of a variety of regulators, including members of the Twist, Snail/Slug and Zeb transcription factor families. In addition, the SOX4-EZH2 pathway has been reported as one of the master regulators of EMT in metastatic breast cancer. Two major hallmarks of EMT are the loss of expression of the epithelial cell adhesion molecule E-cadherin and gain of expression of the major mesenchymal cell cytoskeletal component vimentin. The cytoplasmic intermediate filament protein vimentin is a component of the cytoskeleton normally found in embryonic or mesenchymal cells. However, in cancer vimentin is a marker of EMT and is expressed in neoplastic epithelial cells with metastatic properties. The expression of vimentin correlates with invasiveness and poor prognosis in clinical cancer samples.","[{'e1': 'the SOX4-EZH2 pathway ', 'e2': 'one of the master regulators of EMT ', 'relation': 'has been reported as ', 'condition': 'in metastatic breast cancer'}, {'e1': 'The expression of vimentin ', 'e2': ' invasiveness ', 'relation': 'correlates with', 'condition': 'in clinical cancer samples.'}, {'e1': 'The expression of vimentin ', 'e2': 'poor prognosis ', 'relation': 'correlates with', 'condition': 'in clinical cancer samples.'}]"
20,P104P6,"In this study, we focus on analysing the expression pattern of PLA2G7 in breast cancer and investigate the functional role of PLA2G7 in cultured breast cancer cells using genome-wide gene expression analysis, immunohistochemistry and functional assays. The results indicate a role for PLA2G7 in the regulation of metastasis-enabling EMT and cell migration, associate high PLA2G7 mRNA expression with hormone receptor negative aggressive disease and indicate that high PLA2G7 protein expression in lymph node metastases associates with unfavourable prognosis in breast cancer.","[{'e1': 'high PLA2G7 protein expression in lymph node metastases ', 'e2': 'unfavourable prognosis', 'relation': 'associates with ', 'condition': ' in breast cancer.'}]"
21,P104P7,"Breast cancer is the most frequent cancer in women worldwide and the leading cause of cancer-related deaths in women due to distinct cancer subtypes associated with aggressive progression. Here, we evaluated the expression pattern of PLA2G7 in breast cancer and investigated the molecular processes regulated by PLA2G7 in cultured breast cancer cells.","[{'e1': ' molecular processes ', 'e2': 'PLA2G7 ', 'relation': 'regulated by ', 'condition': 'in cultured breast cancer cells.'}]"
22,P104P8,"The results from three independent clinical breast cancer sample sets showed that PLA2G7 is highly expressed in hormone receptor negative breast cancers. Analysis of transcriptomic data indicated a significant association between high PLA2G7 mRNA expression and poor prognosis in primary breast cancer samples. However, the association between high PLA2G7 protein expression and unfavourable disease outcome was not seen at the protein level in samples derived from primary breast cancers. Surprisingly, when evaluating the protein expression of PLA2G7 in the lymph node metastases, high PLA2G7 protein expression was significantly associated with poor prognosis. The reason for the inconsistent results in survival analyses of primary breast cancer samples using either PLA2G7 mRNA or protein expression remain to be investigated. The qRT-PCR primers and antibody used for evaluation of PLA2G7 expression detect both of the transcripts listed in the current release of the Ensembl database. It can be hypothesised that the results may be affected by possible PLA2G7 protein secretion or the expression of PLA2G7 by stromal and inflammatory cells present in the samples. However, the association between high PLA2G7 expression and poor prognosis using samples from lymph node metastases was acquired using the protein expression of PLA2G7 only in the tumour cells, supporting the role for PLA2G7 in cancer progression. Furthermore, PLA2G7 was also highly expressed in metastatic or aggressive tumours derived from cancers of other origins, indicating a wider range of significance in cancer progression. However, although high PLA2G7 expression associates with aggressive tumours and metastasis in many tissues, the results were opposite in thyroid tissue, suggesting that the role of PLA2G7 is multifaceted and dependent on the nature of the disease and biological context.","[{'e1': ' high PLA2G7 mRNA expression ', 'e2': 'poor prognosis ', 'relation': 'significantly associated with', 'condition': 'in primary breast cancer samples'}, {'e1': 'high PLA2G7 protein expression ', 'e2': 'poor prognosis', 'relation': 'was significantly associated with ', 'condition': 'in the lymph node metastases '}, {'e1': 'high PLA2G7 expression ', 'e2': 'aggressive tumours and metastasis ', 'relation': 'associates with ', 'condition': 'in many tissues'}]"
23,P105P1,"Prostate cancer is a leading cause of cancer-related mortality worldwide. Gleason score is one of the best predictors of prostate cancer aggressiveness, but additional tumor biomarkers may improve its prognostic accuracy. We developed a gene expression signature of Gleason score to enhance the prediction of prostate cancer outcomes. Elastic net was used to construct a gene expression signature by contrasting Gleason score 8–10 versus ≤6 tumors in The Cancer Genome Atlas dataset. The constructed signature was then evaluated for its ability to predict recurrence and metastatic-lethal progression in a Fred Hutchinson patient cohort. The expression signature included transcripts representing 49 genes. In the Fred Hutchinson cohort, a 25% increase in the signature was associated with a hazard ratio of 1.51 for recurrence. The signature’s area under the curve for predicting recurrence and metastatic-lethal progression was 0.68 and 0.76, respectively. Compared to a model with age at diagnosis, pathological stage and Gleason score, the gene expression signature improved the area under the curve for recurrence and metastatic-lethal progression. Higher levels of the signature were associated with increased expression of genes in cell cycle-related pathways and decreased expression of genes in androgen response, estrogen response, oxidative phosphorylation, and apoptosis. This gene expression signature based on Gleason score may improve the prediction of recurrence as well as metastatic-lethal progression in prostate cancer patients after radical prostatectomy.","[{'e1': ' a 25% increase in the signature ', 'e2': 'a hazard ratio of 1.51 for recurrence', 'relation': 'was associated with ', 'condition': ' In the Fred Hutchinson cohort'}, {'e1': 'Higher levels of the signature ', 'e2': ' increased expression of genes ', 'relation': 'were associated with', 'condition': 'in cell cycle-related pathways'}]"
24,P105P5,"In the present study, we developed an mRNA expression signature of Gleason score using The Cancer Genome Atlas data, which predicted risk of recurrence and metastatic-lethal progression when tested in an independent patient cohort under long-term follow-up. This transcript signature may improve disease prognostication after radical prostatectomy.","[{'e1': 'This transcript signature ', 'e2': 'disease prognostication', 'relation': 'may improve ', 'condition': ' after radical prostatectomy.'}]"
